"name","proportion","true_prop","cluster"
"bear",0.135655487804878,0.0923076923076923,"Cluster_1"
"bee",0.0893521341463415,0.0615384615384615,"Cluster_1"
"meadow",0.138810975609756,0.153846153846154,"Cluster_1"
"trout",0.117157012195122,0.0769230769230769,"Cluster_1"
"eagle",0.0452286585365854,0.0615384615384615,"Cluster_1"
"rabbit",0.0371112804878049,0.0615384615384615,"Cluster_1"
"dragonfly",0.0554115853658537,0.0615384615384615,"Cluster_1"
"fox",0.0832240853658537,0.0923076923076923,"Cluster_1"
"deer",0.0761661585365854,0.0923076923076923,"Cluster_1"
"stream",0.136112804878049,0.153846153846154,"Cluster_1"
"wolf",0.0857698170731707,0.0923076923076923,"Cluster_1"
"bear",0.0673422759433962,0.0923076923076923,"Cluster_2"
"bee",0.0557193396226415,0.0615384615384615,"Cluster_2"
"meadow",0.1328125,0.153846153846154,"Cluster_2"
"trout",0.0769678655660377,0.0769230769230769,"Cluster_2"
"eagle",0.0435362617924528,0.0615384615384615,"Cluster_2"
"rabbit",0.0422390919811321,0.0615384615384615,"Cluster_2"
"dragonfly",0.11341391509434,0.0615384615384615,"Cluster_2"
"fox",0.0736733490566038,0.0923076923076923,"Cluster_2"
"deer",0.0762603183962264,0.0923076923076923,"Cluster_2"
"stream",0.25397258254717,0.153846153846154,"Cluster_2"
"wolf",0.0640625,0.0923076923076923,"Cluster_2"
"bear",0.0711402748545252,0.0923076923076923,"Cluster_3"
"bee",0.104488052494738,0.0615384615384615,"Cluster_3"
"meadow",0.271239321530271,0.153846153846154,"Cluster_3"
"trout",0.0630493995295283,0.0769230769230769,"Cluster_3"
"eagle",0.041091989600099,0.0615384615384615,"Cluster_3"
"rabbit",0.0431657793735298,0.0615384615384615,"Cluster_3"
"dragonfly",0.0522533118732203,0.0615384615384615,"Cluster_3"
"fox",0.0764392720069333,0.0923076923076923,"Cluster_3"
"deer",0.0767549832858735,0.0923076923076923,"Cluster_3"
"stream",0.126544509099913,0.153846153846154,"Cluster_3"
"wolf",0.0738331063513681,0.0923076923076923,"Cluster_3"
"bear",0.073382001965464,0.0923076923076923,"Cluster_4"
"bee",0.0558472553699284,0.0615384615384615,"Cluster_4"
"meadow",0.145612803593991,0.153846153846154,"Cluster_4"
"trout",0.0990593850905517,0.0769230769230769,"Cluster_4"
"eagle",0.0986101361785764,0.0615384615384615,"Cluster_4"
"rabbit",0.101846132247648,0.0615384615384615,"Cluster_4"
"dragonfly",0.0561069773971641,0.0615384615384615,"Cluster_4"
"fox",0.0787519303664186,0.0923076923076923,"Cluster_4"
"deer",0.0799803453601011,0.0923076923076923,"Cluster_4"
"stream",0.134086761196125,0.153846153846154,"Cluster_4"
"wolf",0.0767162712340306,0.0923076923076923,"Cluster_4"
"bear",0.0714600685938266,0.0923076923076923,"Cluster_5"
"bee",0.0622121509064184,0.0615384615384615,"Cluster_5"
"meadow",0.154789318961293,0.153846153846154,"Cluster_5"
"trout",0.0755879470847624,0.0769230769230769,"Cluster_5"
"eagle",0.0464539441450269,0.0615384615384615,"Cluster_5"
"rabbit",0.0410093091621754,0.0615384615384615,"Cluster_5"
"dragonfly",0.0594622733953944,0.0615384615384615,"Cluster_5"
"fox",0.120094316511514,0.0923076923076923,"Cluster_5"
"deer",0.138412542871142,0.0923076923076923,"Cluster_5"
"stream",0.136679323860853,0.153846153846154,"Cluster_5"
"wolf",0.0938388045075943,0.0923076923076923,"Cluster_5"
