"name","proportion","true_prop","cluster"
"bear",0.0760674157303371,0.0923076923076923,"Cluster_1"
"bee",0.0621910112359551,0.0615384615384615,"Cluster_1"
"meadow",0.151544943820225,0.153846153846154,"Cluster_1"
"trout",0.0812265917602996,0.0769230769230769,"Cluster_1"
"eagle",0.0495880149812734,0.0615384615384615,"Cluster_1"
"rabbit",0.0429868913857678,0.0615384615384615,"Cluster_1"
"dragonfly",0.0583707865168539,0.0615384615384615,"Cluster_1"
"fox",0.076685393258427,0.0923076923076923,"Cluster_1"
"deer",0.163960674157303,0.0923076923076923,"Cluster_1"
"stream",0.134129213483146,0.153846153846154,"Cluster_1"
"wolf",0.103249063670412,0.0923076923076923,"Cluster_1"
"bear",0.0767297103184103,0.0923076923076923,"Cluster_2"
"bee",0.0637898012927939,0.0615384615384615,"Cluster_2"
"meadow",0.14670816375389,0.153846153846154,"Cluster_2"
"trout",0.0849652860904956,0.0769230769230769,"Cluster_2"
"eagle",0.0506224563083553,0.0615384615384615,"Cluster_2"
"rabbit",0.0462293512090017,0.0615384615384615,"Cluster_2"
"dragonfly",0.0591213789801293,0.0615384615384615,"Cluster_2"
"fox",0.179243476179076,0.0923076923076923,"Cluster_2"
"deer",0.0840675125688293,0.0923076923076923,"Cluster_2"
"stream",0.134426621977496,0.153846153846154,"Cluster_2"
"wolf",0.0740962413215226,0.0923076923076923,"Cluster_2"
"bear",0.0734052835051546,0.0923076923076923,"Cluster_3"
"bee",0.0972454896907217,0.0615384615384615,"Cluster_3"
"meadow",0.25817493556701,0.153846153846154,"Cluster_3"
"trout",0.06328125,0.0769230769230769,"Cluster_3"
"eagle",0.0493153994845361,0.0615384615384615,"Cluster_3"
"rabbit",0.0531330541237113,0.0615384615384615,"Cluster_3"
"dragonfly",0.0573050902061856,0.0615384615384615,"Cluster_3"
"fox",0.0748469716494845,0.0923076923076923,"Cluster_3"
"deer",0.071899162371134,0.0923076923076923,"Cluster_3"
"stream",0.122599871134021,0.153846153846154,"Cluster_3"
"wolf",0.0787934922680412,0.0923076923076923,"Cluster_3"
"bear",0.0733748142644874,0.0923076923076923,"Cluster_4"
"bee",0.0545690936106984,0.0615384615384615,"Cluster_4"
"meadow",0.140508915304606,0.153846153846154,"Cluster_4"
"trout",0.102656017830609,0.0769230769230769,"Cluster_4"
"eagle",0.103937592867756,0.0615384615384615,"Cluster_4"
"rabbit",0.106398588410104,0.0615384615384615,"Cluster_4"
"dragonfly",0.0547176820208024,0.0615384615384615,"Cluster_4"
"fox",0.0747306835066865,0.0923076923076923,"Cluster_4"
"deer",0.0793090638930163,0.0923076923076923,"Cluster_4"
"stream",0.131649331352155,0.153846153846154,"Cluster_4"
"wolf",0.0781482169390788,0.0923076923076923,"Cluster_4"
"bear",0.073383381675482,0.0923076923076923,"Cluster_5"
"bee",0.0596229312404027,0.0615384615384615,"Cluster_5"
"meadow",0.13463572769152,0.153846153846154,"Cluster_5"
"trout",0.0725644088039584,0.0769230769230769,"Cluster_5"
"eagle",0.049854973554001,0.0615384615384615,"Cluster_5"
"rabbit",0.0500767787067053,0.0615384615384615,"Cluster_5"
"dragonfly",0.101782972189046,0.0615384615384615,"Cluster_5"
"fox",0.0737502132741853,0.0923076923076923,"Cluster_5"
"deer",0.0741255758403003,0.0923076923076923,"Cluster_5"
"stream",0.239319228800546,0.153846153846154,"Cluster_5"
"wolf",0.0708838082238526,0.0923076923076923,"Cluster_5"
"bear",0.142852690629545,0.0923076923076923,"Cluster_6"
"bee",0.0909723665073759,0.0615384615384615,"Cluster_6"
"meadow",0.134541865780179,0.153846153846154,"Cluster_6"
"trout",0.120714730937046,0.0769230769230769,"Cluster_6"
"eagle",0.0461458549761064,0.0615384615384615,"Cluster_6"
"rabbit",0.0382505713692084,0.0615384615384615,"Cluster_6"
"dragonfly",0.0548618325368793,0.0615384615384615,"Cluster_6"
"fox",0.0756804487845419,0.0923076923076923,"Cluster_6"
"deer",0.0761271556201953,0.0923076923076923,"Cluster_6"
"stream",0.132152503635986,0.153846153846154,"Cluster_6"
"wolf",0.0876999792229379,0.0923076923076923,"Cluster_6"
"bear",0.0722029624960605,0.0923076923076923,"Cluster_7"
"bee",0.109880239520958,0.0615384615384615,"Cluster_7"
"meadow",0.273006618342263,0.153846153846154,"Cluster_7"
"trout",0.0706901985502679,0.0769230769230769,"Cluster_7"
"eagle",0.0294358651118815,0.0615384615384615,"Cluster_7"
"rabbit",0.0279388591238575,0.0615384615384615,"Cluster_7"
"dragonfly",0.0421525370312008,0.0615384615384615,"Cluster_7"
"fox",0.0806492278600693,0.0923076923076923,"Cluster_7"
"deer",0.0906712890009455,0.0923076923076923,"Cluster_7"
"stream",0.137109990545225,0.153846153846154,"Cluster_7"
"wolf",0.0662622124172707,0.0923076923076923,"Cluster_7"
"bear",0.0589326484018265,0.0923076923076923,"Cluster_8"
"bee",0.046689497716895,0.0615384615384615,"Cluster_8"
"meadow",0.125057077625571,0.153846153846154,"Cluster_8"
"trout",0.0900970319634703,0.0769230769230769,"Cluster_8"
"eagle",0.0319063926940639,0.0615384615384615,"Cluster_8"
"rabbit",0.0269977168949772,0.0615384615384615,"Cluster_8"
"dragonfly",0.135102739726027,0.0615384615384615,"Cluster_8"
"fox",0.0724600456621005,0.0923076923076923,"Cluster_8"
"deer",0.0845034246575342,0.0923076923076923,"Cluster_8"
"stream",0.278253424657534,0.153846153846154,"Cluster_8"
"wolf",0.05,0.0923076923076923,"Cluster_8"
