"name","proportion","true_prop","cluster"
"bear",0.141913580246914,0.0923076923076923,"Cluster_1"
"bee",0.0897325102880659,0.0615384615384615,"Cluster_1"
"meadow",0.144907407407407,0.153846153846154,"Cluster_1"
"trout",0.105833333333333,0.0769230769230769,"Cluster_1"
"eagle",0.0458847736625514,0.0615384615384615,"Cluster_1"
"rabbit",0.0377263374485597,0.0615384615384615,"Cluster_1"
"dragonfly",0.0635699588477366,0.0615384615384615,"Cluster_1"
"fox",0.0765843621399177,0.0923076923076923,"Cluster_1"
"deer",0.0887860082304527,0.0923076923076923,"Cluster_1"
"stream",0.13641975308642,0.153846153846154,"Cluster_1"
"wolf",0.068641975308642,0.0923076923076923,"Cluster_1"
"bear",0.0693584966790863,0.0923076923076923,"Cluster_2"
"bee",0.0675522436416653,0.0615384615384615,"Cluster_2"
"meadow",0.161947189373076,0.153846153846154,"Cluster_2"
"trout",0.0748015551595659,0.0769230769230769,"Cluster_2"
"eagle",0.0493763162157784,0.0615384615384615,"Cluster_2"
"rabbit",0.0480965494897133,0.0615384615384615,"Cluster_2"
"dragonfly",0.0694313947837356,0.0615384615384615,"Cluster_2"
"fox",0.144889032885145,0.0923076923076923,"Cluster_2"
"deer",0.109444354446784,0.0923076923076923,"Cluster_2"
"stream",0.149643609266159,0.153846153846154,"Cluster_2"
"wolf",0.0554592580592905,0.0923076923076923,"Cluster_2"
"bear",0.0714845140619438,0.0923076923076923,"Cluster_3"
"bee",0.108276966892132,0.0615384615384615,"Cluster_3"
"meadow",0.27876468494126,0.153846153846154,"Cluster_3"
"trout",0.0638928444286223,0.0769230769230769,"Cluster_3"
"eagle",0.0434496262014952,0.0615384615384615,"Cluster_3"
"rabbit",0.0436543253826985,0.0615384615384615,"Cluster_3"
"dragonfly",0.0542096831612674,0.0615384615384615,"Cluster_3"
"fox",0.072997508009968,0.0923076923076923,"Cluster_3"
"deer",0.0748665005339979,0.0923076923076923,"Cluster_3"
"stream",0.12561409754361,0.153846153846154,"Cluster_3"
"wolf",0.0627892488430046,0.0923076923076923,"Cluster_3"
"bear",0.075160923892465,0.0923076923076923,"Cluster_4"
"bee",0.0601571374479364,0.0615384615384615,"Cluster_4"
"meadow",0.145844377129875,0.153846153846154,"Cluster_4"
"trout",0.0909030670200682,0.0769230769230769,"Cluster_4"
"eagle",0.100615297235895,0.0615384615384615,"Cluster_4"
"rabbit",0.108405906853465,0.0615384615384615,"Cluster_4"
"dragonfly",0.061804240817872,0.0615384615384615,"Cluster_4"
"fox",0.0751135933358576,0.0923076923076923,"Cluster_4"
"deer",0.0789000378644453,0.0923076923076923,"Cluster_4"
"stream",0.135213934115865,0.153846153846154,"Cluster_4"
"wolf",0.0678814842862552,0.0923076923076923,"Cluster_4"
"bear",0.0709087915706289,0.0923076923076923,"Cluster_5"
"bee",0.0690648666447152,0.0615384615384615,"Cluster_5"
"meadow",0.162660520250247,0.153846153846154,"Cluster_5"
"trout",0.0778482054659203,0.0769230769230769,"Cluster_5"
"eagle",0.0498518274613105,0.0615384615384615,"Cluster_5"
"rabbit",0.0425666776424103,0.0615384615384615,"Cluster_5"
"dragonfly",0.0704807375699704,0.0615384615384615,"Cluster_5"
"fox",0.0695834705301284,0.0923076923076923,"Cluster_5"
"deer",0.106848864010537,0.0923076923076923,"Cluster_5"
"stream",0.139776094830425,0.153846153846154,"Cluster_5"
"wolf",0.140409944023708,0.0923076923076923,"Cluster_5"
"bear",0.0684683659535731,0.0923076923076923,"Cluster_6"
"bee",0.0501706873008648,0.0615384615384615,"Cluster_6"
"meadow",0.132817478379609,0.153846153846154,"Cluster_6"
"trout",0.118957669549386,0.0769230769230769,"Cluster_6"
"eagle",0.0399180700955849,0.0615384615384615,"Cluster_6"
"rabbit",0.0347405553026855,0.0615384615384615,"Cluster_6"
"dragonfly",0.092603550295858,0.0615384615384615,"Cluster_6"
"fox",0.0751706873008648,0.0923076923076923,"Cluster_6"
"deer",0.079585798816568,0.0923076923076923,"Cluster_6"
"stream",0.236538461538462,0.153846153846154,"Cluster_6"
"wolf",0.0710286754665453,0.0923076923076923,"Cluster_6"
"bear",0.0770941336971351,0.0923076923076923,"Cluster_7"
"bee",0.0540927694406548,0.0615384615384615,"Cluster_7"
"meadow",0.132878581173261,0.153846153846154,"Cluster_7"
"trout",0.0506957708049113,0.0769230769230769,"Cluster_7"
"eagle",0.0456070941336971,0.0615384615384615,"Cluster_7"
"rabbit",0.0441336971350614,0.0615384615384615,"Cluster_7"
"dragonfly",0.120914051841746,0.0615384615384615,"Cluster_7"
"fox",0.0731923601637108,0.0923076923076923,"Cluster_7"
"deer",0.0757025920873124,0.0923076923076923,"Cluster_7"
"stream",0.256984993178718,0.153846153846154,"Cluster_7"
"wolf",0.0687039563437926,0.0923076923076923,"Cluster_7"
