"name","proportion","true_prop","cluster"
"bear",0.136442498347654,0.0923076923076923,"Cluster_1"
"bee",0.0878387309980172,0.0615384615384615,"Cluster_1"
"meadow",0.132410773298083,0.153846153846154,"Cluster_1"
"trout",0.117894910773298,0.0769230769230769,"Cluster_1"
"eagle",0.046645736946464,0.0615384615384615,"Cluster_1"
"rabbit",0.0382848645076008,0.0615384615384615,"Cluster_1"
"dragonfly",0.0566920026437541,0.0615384615384615,"Cluster_1"
"fox",0.0857815598149372,0.0923076923076923,"Cluster_1"
"deer",0.0753222075346993,0.0923076923076923,"Cluster_1"
"stream",0.134839722405816,0.153846153846154,"Cluster_1"
"wolf",0.0878469927296761,0.0923076923076923,"Cluster_1"
"bear",0.0674581887030609,0.0923076923076923,"Cluster_2"
"bee",0.0548990217734301,0.0615384615384615,"Cluster_2"
"meadow",0.128897128431682,0.153846153846154,"Cluster_2"
"trout",0.0774850110444935,0.0769230769230769,"Cluster_2"
"eagle",0.0437440833070369,0.0615384615384615,"Cluster_2"
"rabbit",0.0427895235089934,0.0615384615384615,"Cluster_2"
"dragonfly",0.114665509624487,0.0615384615384615,"Cluster_2"
"fox",0.0735878826128116,0.0923076923076923,"Cluster_2"
"deer",0.0752051120227201,0.0923076923076923,"Cluster_2"
"stream",0.256792363521616,0.153846153846154,"Cluster_2"
"wolf",0.0644761754496687,0.0923076923076923,"Cluster_2"
"bear",0.0736536065346809,0.0923076923076923,"Cluster_3"
"bee",0.0940329502976602,0.0615384615384615,"Cluster_3"
"meadow",0.252720476256403,0.153846153846154,"Cluster_3"
"trout",0.0632424200470719,0.0769230769230769,"Cluster_3"
"eagle",0.0489893396095805,0.0615384615384615,"Cluster_3"
"rabbit",0.0528173888965804,0.0615384615384615,"Cluster_3"
"dragonfly",0.0578914578430015,0.0615384615384615,"Cluster_3"
"fox",0.078243112280216,0.0923076923076923,"Cluster_3"
"deer",0.0737920531635055,0.0923076923076923,"Cluster_3"
"stream",0.125868752595874,0.153846153846154,"Cluster_3"
"wolf",0.0787484424754257,0.0923076923076923,"Cluster_3"
"bear",0.0729873217115689,0.0923076923076923,"Cluster_4"
"bee",0.0541679873217116,0.0615384615384615,"Cluster_4"
"meadow",0.139247226624406,0.153846153846154,"Cluster_4"
"trout",0.101291600633914,0.0769230769230769,"Cluster_4"
"eagle",0.10122028526149,0.0615384615384615,"Cluster_4"
"rabbit",0.103573692551506,0.0615384615384615,"Cluster_4"
"dragonfly",0.0560855784469097,0.0615384615384615,"Cluster_4"
"fox",0.0797543581616482,0.0923076923076923,"Cluster_4"
"deer",0.079675118858954,0.0923076923076923,"Cluster_4"
"stream",0.13540412044374,0.153846153846154,"Cluster_4"
"wolf",0.0765927099841521,0.0923076923076923,"Cluster_4"
"bear",0.072266703478741,0.0923076923076923,"Cluster_5"
"bee",0.0607468249585864,0.0615384615384615,"Cluster_5"
"meadow",0.143235781336278,0.153846153846154,"Cluster_5"
"trout",0.0770568746548868,0.0769230769230769,"Cluster_5"
"eagle",0.0481363887355052,0.0615384615384615,"Cluster_5"
"rabbit",0.0422004417448923,0.0615384615384615,"Cluster_5"
"dragonfly",0.0611540585311982,0.0615384615384615,"Cluster_5"
"fox",0.119036443953617,0.0923076923076923,"Cluster_5"
"deer",0.143194367752623,0.0923076923076923,"Cluster_5"
"stream",0.139149641082275,0.153846153846154,"Cluster_5"
"wolf",0.093822473771397,0.0923076923076923,"Cluster_5"
"bear",0.0728890144027111,0.0923076923076923,"Cluster_6"
"bee",0.105393956509461,0.0615384615384615,"Cluster_6"
"meadow",0.266407794408359,0.153846153846154,"Cluster_6"
"trout",0.0745269697825473,0.0769230769230769,"Cluster_6"
"eagle",0.0295961592770404,0.0615384615384615,"Cluster_6"
"rabbit",0.0268991810223101,0.0615384615384615,"Cluster_6"
"dragonfly",0.0438153064106185,0.0615384615384615,"Cluster_6"
"fox",0.0814176786218582,0.0923076923076923,"Cluster_6"
"deer",0.0935046597006495,0.0923076923076923,"Cluster_6"
"stream",0.139438011861056,0.153846153846154,"Cluster_6"
"wolf",0.0661112680033889,0.0923076923076923,"Cluster_6"
