"name","proportion","true_prop","cluster"
"bear",0.0732936567726382,0.0923076923076923,"Cluster_1"
"bee",0.0610441464517101,0.0615384615384615,"Cluster_1"
"meadow",0.144907337652554,0.153846153846154,"Cluster_1"
"trout",0.0790342021997891,0.0769230769230769,"Cluster_1"
"eagle",0.0485836974536688,0.0615384615384615,"Cluster_1"
"rabbit",0.0417055898749435,0.0615384615384615,"Cluster_1"
"dragonfly",0.0583772788910652,0.0615384615384615,"Cluster_1"
"fox",0.121041133042037,0.0923076923076923,"Cluster_1"
"deer",0.146579780021094,0.0923076923076923,"Cluster_1"
"stream",0.130292300738285,0.153846153846154,"Cluster_1"
"wolf",0.0951408769022149,0.0923076923076923,"Cluster_1"
"bear",0.0734450506625097,0.0923076923076923,"Cluster_2"
"bee",0.0600779423226812,0.0615384615384615,"Cluster_2"
"meadow",0.135580670303975,0.153846153846154,"Cluster_2"
"trout",0.0731021044427124,0.0769230769230769,"Cluster_2"
"eagle",0.0498674980514419,0.0615384615384615,"Cluster_2"
"rabbit",0.0502104442712393,0.0615384615384615,"Cluster_2"
"dragonfly",0.0988230709275136,0.0615384615384615,"Cluster_2"
"fox",0.0772876071706937,0.0923076923076923,"Cluster_2"
"deer",0.075066250974279,0.0923076923076923,"Cluster_2"
"stream",0.234466095089634,0.153846153846154,"Cluster_2"
"wolf",0.0720732657833203,0.0923076923076923,"Cluster_2"
"bear",0.0736287845546292,0.0923076923076923,"Cluster_3"
"bee",0.0949466140119936,0.0615384615384615,"Cluster_3"
"meadow",0.255353225098727,0.153846153846154,"Cluster_3"
"trout",0.0633830627468188,0.0769230769230769,"Cluster_3"
"eagle",0.0489395933889133,0.0615384615384615,"Cluster_3"
"rabbit",0.0530788357466725,0.0615384615384615,"Cluster_3"
"dragonfly",0.0568597338013749,0.0615384615384615,"Cluster_3"
"fox",0.0782872604943689,0.0923076923076923,"Cluster_3"
"deer",0.0742869679684072,0.0923076923076923,"Cluster_3"
"stream",0.122341670323241,0.153846153846154,"Cluster_3"
"wolf",0.078894251864853,0.0923076923076923,"Cluster_3"
"bear",0.0729682274247492,0.0923076923076923,"Cluster_4"
"bee",0.0543729096989967,0.0615384615384615,"Cluster_4"
"meadow",0.139448160535117,0.153846153846154,"Cluster_4"
"trout",0.103394648829431,0.0769230769230769,"Cluster_4"
"eagle",0.102098662207358,0.0615384615384615,"Cluster_4"
"rabbit",0.103503344481605,0.0615384615384615,"Cluster_4"
"dragonfly",0.0546989966555184,0.0615384615384615,"Cluster_4"
"fox",0.0799163879598662,0.0923076923076923,"Cluster_4"
"deer",0.0801672240802676,0.0923076923076923,"Cluster_4"
"stream",0.131463210702341,0.153846153846154,"Cluster_4"
"wolf",0.0779682274247492,0.0923076923076923,"Cluster_4"
"bear",0.138672994269341,0.0923076923076923,"Cluster_5"
"bee",0.0891654727793696,0.0615384615384615,"Cluster_5"
"meadow",0.134025787965616,0.153846153846154,"Cluster_5"
"trout",0.118946991404011,0.0769230769230769,"Cluster_5"
"eagle",0.0458363180515759,0.0615384615384615,"Cluster_5"
"rabbit",0.0381984240687679,0.0615384615384615,"Cluster_5"
"dragonfly",0.0551396848137536,0.0615384615384615,"Cluster_5"
"fox",0.0856643982808023,0.0923076923076923,"Cluster_5"
"deer",0.076128223495702,0.0923076923076923,"Cluster_5"
"stream",0.130900787965616,0.153846153846154,"Cluster_5"
"wolf",0.0873209169054441,0.0923076923076923,"Cluster_5"
"bear",0.072524101665206,0.0923076923076923,"Cluster_6"
"bee",0.106836108676599,0.0615384615384615,"Cluster_6"
"meadow",0.268302658486708,0.153846153846154,"Cluster_6"
"trout",0.0732544551562957,0.0769230769230769,"Cluster_6"
"eagle",0.0297546012269939,0.0615384615384615,"Cluster_6"
"rabbit",0.0275343266140812,0.0615384615384615,"Cluster_6"
"dragonfly",0.0426380368098159,0.0615384615384615,"Cluster_6"
"fox",0.0816096990943617,0.0923076923076923,"Cluster_6"
"deer",0.0926088226701724,0.0923076923076923,"Cluster_6"
"stream",0.138548057259714,0.153846153846154,"Cluster_6"
"wolf",0.0663891323400526,0.0923076923076923,"Cluster_6"
"bear",0.05867903930131,0.0923076923076923,"Cluster_7"
"bee",0.0465884279475983,0.0615384615384615,"Cluster_7"
"meadow",0.122953056768559,0.153846153846154,"Cluster_7"
"trout",0.0887281659388646,0.0769230769230769,"Cluster_7"
"eagle",0.0329148471615721,0.0615384615384615,"Cluster_7"
"rabbit",0.0276200873362445,0.0615384615384615,"Cluster_7"
"dragonfly",0.135889737991266,0.0615384615384615,"Cluster_7"
"fox",0.0734443231441048,0.0923076923076923,"Cluster_7"
"deer",0.0834334061135371,0.0923076923076923,"Cluster_7"
"stream",0.279612445414847,0.153846153846154,"Cluster_7"
"wolf",0.0501364628820961,0.0923076923076923,"Cluster_7"
