"iterations","beta","break_point","mean_start_score","mean_highest_score","sd_highest_score","max_score","score_90th_percent","score_75_plus","average_iterations","sd_iterations","type"
2000,0.9,500,29.56,66.07,7.0212592038808,79,74,8,904.81,440.778940792848,"delayed"
1000,0.5,200,28.08,63.23,9.28434655261699,81,75,11,558.31,212.348755207992,"annealing dynamic"
1000,0.5,250,29.02,64.25,9.46377996960682,85,74,9,643.41,222.151013111043,"annealing dynamic"
1000,0.8,200,29.37,63.81,10.2155506335916,81,74.1,10,546.3,240.594780668344,"annealing dynamic"
1000,0.8,250,28.52,63.64,9.20201998026367,79,74.1,10,515.58,245.264819978716,"annealing dynamic"
1000,0.9,200,31.07,67.55,7.97264895208182,84,77,24,529.48,237.627986992316,"annealing dynamic"
1000,0.9,250,28.58,65.16,9.08958778276584,85,75,12,513.29,248.78051236649,"annealing dynamic"
1000,0.5,200,27.97,63.92,8.58549399107047,83,74,9,691.85,209.28243808043,"delayed"
1000,0.5,250,29.87,64.61,7.16739953969472,80,73,8,686.26,191.116899019708,"delayed"
1000,0.8,200,29.68,64.32,8.36162470317627,81,73.1,6,595.51,266.698880440625,"delayed"
1000,0.8,250,28.99,63.3,8.97640003429869,79,73.1,4,595.51,230.846990953582,"delayed"
1000,0.9,200,28.36,65,8.61288675078328,86,75,13,627.66,250.738876607566,"delayed"
1000,0.9,250,29.12,64.27,8.28635851105523,84,73,6,614.5,252.378923866715,"delayed"
500,0.3,125,27.88,57.54,7.83596989800396,75,66.1,1,255.02,119.046801763428,"delayed"
750,0.3,125,27.96,59.74,9.84077273799208,83,71,5,522.16,177.655080638769,"delayed"
500,0.3,250,29.98,57.59,7.59996677292045,74,67,0,244.73,124.43462889681,"delayed"
750,0.3,250,29.36,60.51,9.03583773849241,92,70,6,519.08,160.452685369938,"delayed"
500,0.8,125,27.61,61.48,8.50962615945832,82,72,4,312.46,108.802983842031,"delayed"
750,0.8,125,28,63.67,7.94432012334739,80,73,6,440.8,202.473442578267,"delayed"
500,0.8,250,30.65,62.26,8.89060337000972,86,72,5,283.87,116.108070087285,"delayed"
750,0.8,250,30.19,64.58,8.21575230022095,85,74,9,480.91,215.7191447089,"delayed"
500,0.9,125,27.44,61.64,9.16462236157623,81,72,4,308,105.188239155172,"delayed"
750,0.9,125,29.23,63.83,9.2573257913979,83,74,9,464.24,194.811181310613,"delayed"
500,0.9,250,29.99,63.23,7.80423997684346,80,74,9,286.12,113.765333520854,"delayed"
750,0.9,250,28.36,63.74,9.11943202200885,80,71.1,7,446.36,206.182890275659,"delayed"
