"name","proportion","true_prop","cluster"
"bear",0.078661688684664,0.0923076923076923,"Cluster_1"
"bee",0.0616695385793605,0.0615384615384615,"Cluster_1"
"meadow",0.151933754547195,0.153846153846154,"Cluster_1"
"trout",0.0700555236454145,0.0769230769230769,"Cluster_1"
"eagle",0.0483630097645032,0.0615384615384615,"Cluster_1"
"rabbit",0.0454910970706491,0.0615384615384615,"Cluster_1"
"dragonfly",0.0620716063565001,0.0615384615384615,"Cluster_1"
"fox",0.0764886080796477,0.0923076923076923,"Cluster_1"
"deer",0.163947922649818,0.0923076923076923,"Cluster_1"
"stream",0.142944667815432,0.153846153846154,"Cluster_1"
"wolf",0.098372582806816,0.0923076923076923,"Cluster_1"
"bear",0.0787095215079749,0.0923076923076923,"Cluster_2"
"bee",0.0640889318511358,0.0615384615384615,"Cluster_2"
"meadow",0.147788786853552,0.153846153846154,"Cluster_2"
"trout",0.0751570807153214,0.0769230769230769,"Cluster_2"
"eagle",0.0487312711454809,0.0615384615384615,"Cluster_2"
"rabbit",0.0458554857419043,0.0615384615384615,"Cluster_2"
"dragonfly",0.0629168680521991,0.0615384615384615,"Cluster_2"
"fox",0.178504108264862,0.0923076923076923,"Cluster_2"
"deer",0.0832286128564524,0.0923076923076923,"Cluster_2"
"stream",0.142278878685355,0.153846153846154,"Cluster_2"
"wolf",0.0727404543257612,0.0923076923076923,"Cluster_2"
"bear",0.0736641221374046,0.0923076923076923,"Cluster_3"
"bee",0.0973614337869233,0.0615384615384615,"Cluster_3"
"meadow",0.259127115831397,0.153846153846154,"Cluster_3"
"trout",0.0622635247261865,0.0769230769230769,"Cluster_3"
"eagle",0.0489960172585463,0.0615384615384615,"Cluster_3"
"rabbit",0.0518503153003651,0.0615384615384615,"Cluster_3"
"dragonfly",0.0574510454696316,0.0615384615384615,"Cluster_3"
"fox",0.0745851310985729,0.0923076923076923,"Cluster_3"
"deer",0.0711168270826419,0.0923076923076923,"Cluster_3"
"stream",0.124220046465317,0.153846153846154,"Cluster_3"
"wolf",0.0793644208430136,0.0923076923076923,"Cluster_3"
"bear",0.0793422733077905,0.0923076923076923,"Cluster_4"
"bee",0.0556194125159642,0.0615384615384615,"Cluster_4"
"meadow",0.142869306087697,0.153846153846154,"Cluster_4"
"trout",0.0861111111111111,0.0769230769230769,"Cluster_4"
"eagle",0.104885057471264,0.0615384615384615,"Cluster_4"
"rabbit",0.116400595998297,0.0615384615384615,"Cluster_4"
"dragonfly",0.0563537675606641,0.0615384615384615,"Cluster_4"
"fox",0.075436355896126,0.0923076923076923,"Cluster_4"
"deer",0.0795019157088123,0.0923076923076923,"Cluster_4"
"stream",0.129970200085143,0.153846153846154,"Cluster_4"
"wolf",0.0735100042571307,0.0923076923076923,"Cluster_4"
"bear",0.0577626233313987,0.0923076923076923,"Cluster_5"
"bee",0.061056297156123,0.0615384615384615,"Cluster_5"
"meadow",0.144384793964016,0.153846153846154,"Cluster_5"
"trout",0.15155252466628,0.0769230769230769,"Cluster_5"
"eagle",0.0678322692977365,0.0615384615384615,"Cluster_5"
"rabbit",0.0444283226929774,0.0615384615384615,"Cluster_5"
"dragonfly",0.0584010446894951,0.0615384615384615,"Cluster_5"
"fox",0.0803830528148578,0.0923076923076923,"Cluster_5"
"deer",0.0838943702843877,0.0923076923076923,"Cluster_5"
"stream",0.157864190365641,0.153846153846154,"Cluster_5"
"wolf",0.0924405107370865,0.0923076923076923,"Cluster_5"
"bear",0.0735800064913989,0.0923076923076923,"Cluster_6"
"bee",0.111002921129503,0.0615384615384615,"Cluster_6"
"meadow",0.274472573839662,0.153846153846154,"Cluster_6"
"trout",0.0682570593962999,0.0769230769230769,"Cluster_6"
"eagle",0.0280266147354755,0.0615384615384615,"Cluster_6"
"rabbit",0.0276533592989289,0.0615384615384615,"Cluster_6"
"dragonfly",0.0436708860759494,0.0615384615384615,"Cluster_6"
"fox",0.0811262577085362,0.0923076923076923,"Cluster_6"
"deer",0.0917234664070107,0.0923076923076923,"Cluster_6"
"stream",0.135475494969166,0.153846153846154,"Cluster_6"
"wolf",0.0650113599480688,0.0923076923076923,"Cluster_6"
"bear",0.0669809626436782,0.0923076923076923,"Cluster_7"
"bee",0.0544450431034483,0.0615384615384615,"Cluster_7"
"meadow",0.128322557471264,0.153846153846154,"Cluster_7"
"trout",0.0776760057471264,0.0769230769230769,"Cluster_7"
"eagle",0.0431483477011494,0.0615384615384615,"Cluster_7"
"rabbit",0.0425377155172414,0.0615384615384615,"Cluster_7"
"dragonfly",0.117977729885057,0.0615384615384615,"Cluster_7"
"fox",0.0694414511494253,0.0923076923076923,"Cluster_7"
"deer",0.0735721982758621,0.0923076923076923,"Cluster_7"
"stream",0.26186242816092,0.153846153846154,"Cluster_7"
"wolf",0.0640355603448276,0.0923076923076923,"Cluster_7"
"bear",0.14919390459364,0.0923076923076923,"Cluster_8"
"bee",0.0934076855123675,0.0615384615384615,"Cluster_8"
"meadow",0.134231448763251,0.153846153846154,"Cluster_8"
"trout",0.110633833922261,0.0769230769230769,"Cluster_8"
"eagle",0.0448321554770318,0.0615384615384615,"Cluster_8"
"rabbit",0.0391121908127208,0.0615384615384615,"Cluster_8"
"dragonfly",0.0556205830388693,0.0615384615384615,"Cluster_8"
"fox",0.0770649293286219,0.0923076923076923,"Cluster_8"
"deer",0.0778599823321555,0.0923076923076923,"Cluster_8"
"stream",0.131393551236749,0.153846153846154,"Cluster_8"
"wolf",0.0866497349823322,0.0923076923076923,"Cluster_8"
