"name","proportion","true_prop","cluster"
"bear",0.145942281619214,0.0923076923076923,"Cluster_1"
"bee",0.0918942475305055,0.0615384615384615,"Cluster_1"
"meadow",0.133643230679837,0.153846153846154,"Cluster_1"
"trout",0.108231648266512,0.0769230769230769,"Cluster_1"
"eagle",0.0451965911291885,0.0615384615384615,"Cluster_1"
"rabbit",0.0398024404416037,0.0615384615384615,"Cluster_1"
"dragonfly",0.0558493124152624,0.0615384615384615,"Cluster_1"
"fox",0.0855122990509394,0.0923076923076923,"Cluster_1"
"deer",0.0780360255665311,0.0923076923076923,"Cluster_1"
"stream",0.130941313190006,0.153846153846154,"Cluster_1"
"wolf",0.0849506101104009,0.0923076923076923,"Cluster_1"
"bear",0.0673152067730381,0.0923076923076923,"Cluster_2"
"bee",0.0544448062520352,0.0615384615384615,"Cluster_2"
"meadow",0.128679583197655,0.153846153846154,"Cluster_2"
"trout",0.0775887333116249,0.0769230769230769,"Cluster_2"
"eagle",0.0437805275154673,0.0615384615384615,"Cluster_2"
"rabbit",0.0424861608596548,0.0615384615384615,"Cluster_2"
"dragonfly",0.115394008466298,0.0615384615384615,"Cluster_2"
"fox",0.072972972972973,0.0923076923076923,"Cluster_2"
"deer",0.0750325626831651,0.0923076923076923,"Cluster_2"
"stream",0.257815043959622,0.153846153846154,"Cluster_2"
"wolf",0.0644903940084663,0.0923076923076923,"Cluster_2"
"bear",0.0736770691994573,0.0923076923076923,"Cluster_3"
"bee",0.0948439620081411,0.0615384615384615,"Cluster_3"
"meadow",0.256151062867481,0.153846153846154,"Cluster_3"
"trout",0.0625810342228253,0.0769230769230769,"Cluster_3"
"eagle",0.0484546962158902,0.0615384615384615,"Cluster_3"
"rabbit",0.05119855269109,0.0615384615384615,"Cluster_3"
"dragonfly",0.0576511382481532,0.0615384615384615,"Cluster_3"
"fox",0.077483793155435,0.0923076923076923,"Cluster_3"
"deer",0.0730740238202925,0.0923076923076923,"Cluster_3"
"stream",0.125418362731796,0.153846153846154,"Cluster_3"
"wolf",0.0794663048394392,0.0923076923076923,"Cluster_3"
"bear",0.079317738791423,0.0923076923076923,"Cluster_4"
"bee",0.0550779727095517,0.0615384615384615,"Cluster_4"
"meadow",0.143216374269006,0.153846153846154,"Cluster_4"
"trout",0.0848538011695906,0.0769230769230769,"Cluster_4"
"eagle",0.103040935672515,0.0615384615384615,"Cluster_4"
"rabbit",0.114834307992203,0.0615384615384615,"Cluster_4"
"dragonfly",0.0561500974658869,0.0615384615384615,"Cluster_4"
"fox",0.0787037037037037,0.0923076923076923,"Cluster_4"
"deer",0.081598440545809,0.0923076923076923,"Cluster_4"
"stream",0.130292397660819,0.153846153846154,"Cluster_4"
"wolf",0.0729142300194932,0.0923076923076923,"Cluster_4"
"bear",0.0765124827691836,0.0923076923076923,"Cluster_5"
"bee",0.0619160667789861,0.0615384615384615,"Cluster_5"
"meadow",0.146140297135855,0.153846153846154,"Cluster_5"
"trout",0.0671772093735641,0.0769230769230769,"Cluster_5"
"eagle",0.0462628273855108,0.0615384615384615,"Cluster_5"
"rabbit",0.0434905804870577,0.0615384615384615,"Cluster_5"
"dragonfly",0.0620385970286414,0.0615384615384615,"Cluster_5"
"fox",0.122093735640986,0.0923076923076923,"Cluster_5"
"deer",0.144325317812835,0.0923076923076923,"Cluster_5"
"stream",0.138551079797825,0.153846153846154,"Cluster_5"
"wolf",0.0914918057895543,0.0923076923076923,"Cluster_5"
"bear",0.0580640958832725,0.0923076923076923,"Cluster_6"
"bee",0.060461177696717,0.0615384615384615,"Cluster_6"
"meadow",0.143017196456488,0.153846153846154,"Cluster_6"
"trout",0.148736321000521,0.0769230769230769,"Cluster_6"
"eagle",0.0674830640958833,0.0615384615384615,"Cluster_6"
"rabbit",0.0442678478374153,0.0615384615384615,"Cluster_6"
"dragonfly",0.0582334549244398,0.0615384615384615,"Cluster_6"
"fox",0.0866727462219906,0.0923076923076923,"Cluster_6"
"deer",0.0839239187076602,0.0923076923076923,"Cluster_6"
"stream",0.155510682647212,0.153846153846154,"Cluster_6"
"wolf",0.0936294945284002,0.0923076923076923,"Cluster_6"
"bear",0.0740910479682249,0.0923076923076923,"Cluster_7"
"bee",0.109074243813016,0.0615384615384615,"Cluster_7"
"meadow",0.270745493431103,0.153846153846154,"Cluster_7"
"trout",0.0694928200427742,0.0769230769230769,"Cluster_7"
"eagle",0.0282004277421326,0.0615384615384615,"Cluster_7"
"rabbit",0.0274671555148182,0.0615384615384615,"Cluster_7"
"dragonfly",0.0439810571341277,0.0615384615384615,"Cluster_7"
"fox",0.081683470821876,0.0923076923076923,"Cluster_7"
"deer",0.0932477849068133,0.0923076923076923,"Cluster_7"
"stream",0.136755270394134,0.153846153846154,"Cluster_7"
"wolf",0.0652612282309808,0.0923076923076923,"Cluster_7"
